id,name,tail_high,tail_low,ear_high,ear_low,nose_high,nose_low,time_stamp,latitude,longitude,only_in_version_2
1,slim,86,23,900,433,13,2,1/2/2018 11:59:00 AM,85.152476,73.6716951,a
2,spike,74,87,245,601,345,651,2/2/2018 11:59:00 AM,31.8906103,51.6464213,a
3,mamacat,43,97,39,506,763,535,6/2/2018 11:59:00 AM,7.4936601,74.2611061,a
5,miko,12,6,702,282,136,15,5/2/2018 11:59:00 AM,85.5071365,82.5695528,a
6,WINSTON,30,33,187,605,906,652,6/2/2018 11:59:00 AM,61.0382289,58.6792005,a
7,ZOE,83,50,354,965,931,236,7/2/2018 11:59:00 AM,48.7169596,54.6991338,a
8,ANGEL,41,19,418,538,950,579,5/2/2018 11:59:00 AM,51.1413447,96.8786322,a
9,BAXTER,94,8,683,349,696,45,9/2/2018 11:59:00 AM,95.063154,56.9714682,a
10,EMMA,26,24,539,295,484,321,10/2/2018 11:59:00 AM,9.22597,89.6349149,a
14,CHEWY,45,81,337,914,85,492,2/2/2018 11:59:00 AM,30.8985522,66.5252818,a
15,HUNTER,100,15,886,483,720,871,3/2/2018 11:59:00 AM,16.7764669,63.652404,a
17,MADDIE,12,41,32,300,314,799,5/2/2018 11:59:00 AM,18.2908539,57.4419703,a
19,RAVEN,25,71,393,678,565,194,7/2/2018 11:59:00 AM,16.965499,69.8815343,a
22,BUDDY,19,25,920,904,214,139,10/2/2018 11:59:00 AM,57.1906962,72.0466315,a
23,MAX,69,100,291,499,809,724,11/2/2018 11:59:00 AM,97.2861228,90.8585181,a
24,SADIE,62,65,189,714,707,774,12/2/2018 11:59:00 AM,6.4001847,90.7399829,a
25,LUCY,93,70,727,403,1,310,1/2/2018 11:59:00 AM,17.6104817,50.8033586,a
27,DAISY,14,23,243,513,271,370,6/2/2018 11:59:00 AM,26.9248907,63.4980365,a
28,LUNA,60,96,29,249,454,300,4/2/2018 11:59:00 AM,32.5145655,68.6994837,a
30,MAGGIE,78,14,907,869,785,380,6/2/2018 11:59:00 AM,36.8683008,95.4588182,a
31,MOLLY,7,22,179,34,315,334,7/2/2018 11:59:00 AM,56.884549,80.1807133,a
32,COOPER,57,60,115,954,334,612,5/2/2018 11:59:00 AM,20.7212546,87.3281169,a
35,WILLOW,16,9,327,804,761,484,10/2/2018 11:59:00 AM,15.0867467,92.9082638,a
36,ABBY,51,94,971,455,980,283,12/2/2018 11:59:00 AM,89.129289,72.7535278,a
37,BEAR,97,82,113,792,759,611,1/2/2018 11:59:00 AM,74.5334577,76.8965279,a
39,DUKE,52,87,864,821,635,257,3/2/2018 11:59:00 AM,37.4114311,52.5594521,a
40,KODA,86,5,703,516,647,840,4/2/2018 11:59:00 AM,70.1884737,90.1841774,a
42,CHLOE,11,17,380,430,213,246,6/2/2018 11:59:00 AM,46.4063078,79.3935476,a
49,RUBY,94,35,414,897,297,642,1/2/2018 11:59:00 AM,42.8466923,68.2375952,a
51,LUCKY,73,93,873,550,266,586,6/2/2018 11:59:00 AM,38.7062362,72.3995403,a
52,PENNY,64,10,947,247,966,370,4/2/2018 11:59:00 AM,97.5490757,72.4089418,a
54,SHADOW,14,10,390,745,550,94,6/2/2018 11:59:00 AM,87.6846607,63.4469904,a
55,SOPHIE,82,98,286,410,36,854,7/2/2018 11:59:00 AM,6.0945069,76.8281666,a
58,PEPPER,18,1,339,990,250,974,10/2/2018 11:59:00 AM,47.2436006,97.1235638,a
59,COCO,18,17,35,391,659,557,10/2/2018 11:59:00 AM,78.4915867,74.1466105,a
60,GUS,9,64,840,304,885,114,12/2/2018 11:59:00 AM,95.5315095,76.2535773,a
63,GRACIE,52,46,721,510,38,407,3/2/2018 11:59:00 AM,18.2999049,51.8330751,a
65,PIPER,33,21,81,446,983,146,5/2/2018 11:59:00 AM,79.1331834,99.9504483,a
67,YUKON,76,13,855,837,882,96,7/2/2018 11:59:00 AM,1.8269368,73.9841178,a
68,ZOEY,39,9,81,92,12,527,8/2/2018 11:59:00 AM,80.7230128,79.4744685,a
69,ANNIE,83,73,249,338,36,114,9/2/2018 11:59:00 AM,94.5312646,99.0525488,a
72,MARLEY,70,69,313,580,1000,531,12/2/2018 11:59:00 AM,25.7099575,82.0922861,a
76,KONA,2,42,378,51,547,232,4/2/2018 11:59:00 AM,90.8870354,78.3505703,a
77,RUGER,12,61,999,774,449,965,5/2/2018 11:59:00 AM,75.7945887,89.8394017,a
81,ELLIE,59,71,831,527,253,294,9/2/2018 11:59:00 AM,92.940337,84.8094158,a
83,LILLY,100,20,337,574,990,692,10/2/2018 11:59:00 AM,41.8259841,52.4321103,a
87,DAKOTA,95,8,550,776,893,995,3/2/2018 11:59:00 AM,58.2467249,60.9918104,a
88,KISKA,60,51,723,492,991,120,4/2/2018 11:59:00 AM,10.1899125,65.8655365,a
91,MURPHY,19,76,842,619,442,605,7/2/2018 11:59:00 AM,13.0389736,72.5190366,a
93,SASHA,92,57,334,298,259,972,9/2/2018 11:59:00 AM,89.302336,74.6266461,a
94,TUCKER,24,69,986,92,13,715,10/2/2018 11:59:00 AM,69.669045,66.1633482,a
95,KODIAK,49,8,425,907,36,28,11/2/2018 11:59:00 AM,32.186649,69.565515,a
97,NALA,10,50,414,510,176,496,1/2/2018 11:59:00 AM,9.4237179,62.1859948,a
99,RANGER,51,74,443,941,904,708,6/2/2018 11:59:00 AM,76.5137063,60.8497059,a
101,spike,77,81,689,501,742,71,5/2/2018 11:59:00 AM,39.4109222,79.2340895,a
103,babycat,87,34,174,160,681,169,7/2/2018 11:59:00 AM,75.6601037,78.7291838,a
106,ZOE,7,31,238,953,378,43,10/2/2018 11:59:00 AM,54.5086421,65.6491719,a
110,GIZMO,51,99,706,330,441,856,2/2/2018 11:59:00 AM,27.0036165,74.0125158,a
118,RAVEN,72,46,450,529,716,477,10/2/2018 11:59:00 AM,73.1735805,77.5016615,a
119,TEDDY,98,96,801,552,820,707,11/2/2018 11:59:00 AM,51.881058,56.032143,a
121,BUDDY,72,28,361,560,939,105,1/2/2018 11:59:00 AM,11.9030113,68.2815341,a
122,MAX,74,65,796,228,256,176,2/2/2018 11:59:00 AM,65.4475463,81.8955639,a
124,LUCY,17,69,923,646,420,252,4/2/2018 11:59:00 AM,44.8858346,58.0918486,a
125,BAILEY,78,90,700,996,84,36,5/2/2018 11:59:00 AM,86.5854607,62.0229973,a
127,LUNA,24,15,935,658,349,558,7/2/2018 11:59:00 AM,24.3583153,59.9778333,a
130,MOLLY,31,17,732,901,849,949,10/2/2018 11:59:00 AM,7.1216013,99.9113094,a
137,LILY,87,97,332,497,993,143,5/2/2018 11:59:00 AM,48.1450131,87.0930637,a
138,DUKE,6,5,32,568,345,355,6/2/2018 11:59:00 AM,30.4426526,68.3212519,a
139,KODA,45,36,292,182,817,42,7/2/2018 11:59:00 AM,77.3861629,88.711653,a
141,CHLOE,72,75,805,455,764,199,9/2/2018 11:59:00 AM,97.1972913,91.0641922,a
142,KENAI,81,20,630,680,354,341,10/2/2018 11:59:00 AM,45.3372685,66.8368119,a
145,TOBY,54,85,179,660,126,148,1/2/2018 11:59:00 AM,36.1846367,82.3752134,a
146,JAKE,90,84,553,859,190,62,2/2/2018 11:59:00 AM,16.394183,94.4471902,a
149,ROXY,100,19,745,764,593,175,5/2/2018 11:59:00 AM,41.0264875,73.0790129,a
151,PENNY,79,77,793,588,726,628,7/2/2018 11:59:00 AM,47.6553738,77.1929396,a
159,GUS,92,81,17,327,164,396,3/2/2018 11:59:00 AM,20.3690903,59.7121067,a
160,LADY,33,32,278,501,23,987,4/2/2018 11:59:00 AM,87.7975178,90.6208015,a
162,GRACIE,71,78,242,621,268,654,6/2/2018 11:59:00 AM,20.0244971,75.135056,a
163,JASPER,59,76,466,885,772,313,7/2/2018 11:59:00 AM,41.9786732,61.3923138,a
164,PIPER,47,59,875,180,722,881,8/2/2018 11:59:00 AM,59.2475468,62.1737692,a
165,STELLA,24,72,304,963,256,676,9/2/2018 11:59:00 AM,81.6558431,78.3542203,a
166,YUKON,35,66,89,617,299,37,10/2/2018 11:59:00 AM,96.6272764,50.0870523,a
167,ZOEY,80,48,797,221,748,238,11/2/2018 11:59:00 AM,51.0025757,72.6211198,a
