id,name,tail_high,tail_low,ear_high,ear_low,nose_high,nose_low,time_stamp
1,slim,26,18,100,195,828,814,01/02/19 11:59 AM
2,spike,95,32,248,365,827,505,02/02/19 11:59 AM
3,mamacat,75,77,366,182,958,957,03/02/19 11:59 AM
4,babycat,63,83,339,262,620,720,04/02/19 11:59 AM
5,miko,21,5,141,122,869,820,05/02/19 11:59 AM
6,WINSTON,50,57,275,159,852,579,06/02/19 11:59 AM
7,ZOE,28,64,138,210,782,949,07/02/19 11:59 AM
8,ANGEL,72,63,305,372,882,712,08/02/19 11:59 AM
9,BAXTER,28,63,275,258,976,766,09/02/19 11:59 AM
10,EMMA,85,3,431,343,667,548,10/02/19 11:59 AM
11,GIZMO,65,73,318,370,859,734,11/02/19 11:59 AM
12,HAZEL,99,55,285,294,519,864,12/02/19 11:59 AM
13,CHANCE,44,80,487,383,829,745,01/02/19 11:59 AM
14,CHEWY,69,41,415,236,717,714,02/02/19 11:59 AM
15,HUNTER,3,100,375,186,825,673,03/02/19 11:59 AM
16,JACKSON,50,56,283,406,782,825,04/02/19 11:59 AM
17,MADDIE,72,53,317,356,717,543,05/02/19 11:59 AM
18,OTIS,61,76,449,372,929,602,06/02/19 11:59 AM
19,RAVEN,27,41,175,366,772,934,07/02/19 11:59 AM
20,TEDDY,92,26,434,277,544,997,08/02/19 11:59 AM
21,BO,39,97,224,498,818,853,09/02/19 11:59 AM
22,BUDDY,86,99,469,238,925,900,10/02/19 11:59 AM
23,MAX,6,21,461,124,718,664,11/02/19 11:59 AM
24,SADIE,55,39,319,240,864,953,12/02/19 11:59 AM
25,LUCY,15,30,370,177,778,781,02/02/19 11:59 AM
26,BAILEY,86,52,427,214,888,573,03/02/19 11:59 AM
27,DAISY,45,75,140,154,624,709,04/02/19 11:59 AM
28,LUNA,96,88,257,482,659,873,05/02/19 11:59 AM
29,CHARLIE,65,95,280,308,764,859,06/02/19 11:59 AM
30,MAGGIE,4,34,395,281,712,858,07/02/19 11:59 AM
31,MOLLY,73,32,151,442,836,686,08/02/19 11:59 AM
32,COOPER,84,75,430,348,841,693,09/02/19 11:59 AM
33,GINGER,7,0,418,408,572,877,10/02/19 11:59 AM
34,JACK,63,71,200,198,811,839,11/02/19 11:59 AM
35,WILLOW,44,64,423,479,668,954,12/02/19 11:59 AM
36,ABBY,12,30,251,300,824,597,13/02/19 11:59 AM
37,BEAR,72,76,264,470,890,851,02/02/19 11:59 AM
38,LILY,91,33,404,166,611,663,03/02/19 11:59 AM
39,DUKE,16,16,140,495,807,646,04/02/19 11:59 AM
40,KODA,29,94,261,354,859,867,05/02/19 11:59 AM
41,ROCKY,25,91,169,178,845,811,06/02/19 11:59 AM
42,CHLOE,11,2,287,389,887,640,07/02/19 11:59 AM
43,KENAI,65,85,321,427,531,945,08/02/19 11:59 AM
44,HARLEY,41,44,341,232,857,529,09/02/19 11:59 AM
45,DENALI,80,50,211,475,820,925,10/02/19 11:59 AM
46,TOBY,59,56,256,500,689,655,11/02/19 11:59 AM
47,JAKE,54,21,211,269,568,670,12/02/19 11:59 AM
48,LOKI,55,1,303,339,517,544,13/02/19 11:59 AM
49,RUBY,36,84,463,173,665,718,03/02/19 11:59 AM
50,ROXY,94,42,359,141,966,625,04/02/19 11:59 AM
51,LUCKY,85,80,447,386,771,978,05/02/19 11:59 AM
52,PENNY,17,33,152,158,818,598,06/02/19 11:59 AM
53,RILEY,97,10,163,295,863,946,07/02/19 11:59 AM
54,SHADOW,83,65,427,196,562,734,08/02/19 11:59 AM
55,SOPHIE,76,45,412,431,605,541,09/02/19 11:59 AM
56,LOLA,28,47,354,138,917,819,10/02/19 11:59 AM
57,ROSIE,42,30,492,325,765,949,11/02/19 11:59 AM
58,PEPPER,86,94,207,358,842,604,12/02/19 11:59 AM
59,COCO,64,91,383,451,655,924,13/02/19 11:59 AM
60,GUS,11,53,438,167,705,653,14/02/19 11:59 AM
61,LADY,17,43,139,226,681,543,03/02/19 11:59 AM
62,BANDIT,24,60,483,358,926,839,04/02/19 11:59 AM
63,GRACIE,16,69,107,426,567,656,05/02/19 11:59 AM
64,JASPER,70,12,224,454,773,592,06/02/19 11:59 AM
65,PIPER,37,60,500,480,716,725,07/02/19 11:59 AM
66,STELLA,70,31,304,398,957,534,08/02/19 11:59 AM
67,YUKON,60,13,200,294,987,789,09/02/19 11:59 AM
68,ZOEY,33,93,286,161,656,780,10/02/19 11:59 AM
69,ANNIE,84,93,112,104,616,529,11/02/19 11:59 AM
70,BUSTER,40,59,246,235,913,654,12/02/19 11:59 AM
71,SAM,48,43,458,397,829,536,13/02/19 11:59 AM
72,MARLEY,45,62,413,369,603,806,14/02/19 11:59 AM
73,SCOUT,6,13,278,492,536,817,04/02/19 11:59 AM
74,BENTLEY,18,18,206,231,891,859,05/02/19 11:59 AM
75,DIESEL,27,90,465,426,721,571,06/02/19 11:59 AM
76,KONA,5,74,140,261,995,937,07/02/19 11:59 AM
77,RUGER,91,1,427,181,602,884,08/02/19 11:59 AM
78,THOR,27,73,414,313,612,653,09/02/19 11:59 AM
79,ZEUS,26,60,384,129,628,853,10/02/19 11:59 AM
80,ATHENA,59,88,123,247,752,793,11/02/19 11:59 AM
81,ELLIE,36,87,300,118,709,705,12/02/19 11:59 AM
82,FINN,89,12,451,476,563,855,13/02/19 11:59 AM
83,LILLY,94,19,110,344,829,853,14/02/19 11:59 AM
84,MILO,3,37,382,246,739,600,15/02/19 11:59 AM
85,TITAN,85,75,399,434,853,708,04/02/19 11:59 AM
86,BLUE,14,91,223,378,994,735,05/02/19 11:59 AM
87,DAKOTA,81,14,223,171,651,723,06/02/19 11:59 AM
88,KISKA,47,23,430,126,912,942,07/02/19 11:59 AM
89,LEO,67,85,306,300,998,744,08/02/19 11:59 AM
90,MINNIE,62,91,214,100,515,892,09/02/19 11:59 AM
91,MURPHY,57,73,221,237,694,540,10/02/19 11:59 AM
92,OSCAR,12,69,227,468,664,720,11/02/19 11:59 AM
93,SASHA,23,86,107,330,985,549,12/02/19 11:59 AM
94,TUCKER,84,38,282,339,618,661,13/02/19 11:59 AM
95,KODIAK,9,92,270,324,589,626,14/02/19 11:59 AM
96,LOUIE,48,59,273,491,762,791,15/02/19 11:59 AM
97,NALA,90,53,427,205,554,788,05/02/19 11:59 AM
98,OLIVER,2,25,450,344,797,739,06/02/19 11:59 AM
99,RANGER,66,29,472,156,857,631,07/02/19 11:59 AM
100,slim,27,19,101,196,829,815,02/02/19 11:59 AM
101,spike,96,33,249,366,828,506,03/02/19 11:59 AM
102,mamacat,76,78,367,183,959,958,04/02/19 11:59 AM
103,babycat,64,84,340,263,621,721,05/02/19 11:59 AM
104,miko,22,6,142,123,870,821,06/02/19 11:59 AM
105,WINSTON,51,58,276,160,853,580,07/02/19 11:59 AM
106,ZOE,29,65,139,211,783,950,08/02/19 11:59 AM
107,ANGEL,73,64,306,373,883,713,09/02/19 11:59 AM
108,BAXTER,29,64,276,259,977,767,10/02/19 11:59 AM
109,EMMA,86,4,432,344,668,549,11/02/19 11:59 AM
110,GIZMO,66,74,319,371,860,735,12/02/19 11:59 AM
111,HAZEL,100,56,286,295,520,865,13/02/19 11:59 AM
112,CHANCE,45,81,488,384,830,746,02/02/19 11:59 AM
113,CHEWY,70,42,416,237,718,715,03/02/19 11:59 AM
114,HUNTER,4,101,376,187,826,674,04/02/19 11:59 AM
115,JACKSON,51,57,284,407,783,826,05/02/19 11:59 AM
116,MADDIE,73,54,318,357,718,544,06/02/19 11:59 AM
117,OTIS,62,77,450,373,930,603,07/02/19 11:59 AM
118,RAVEN,28,42,176,367,773,935,08/02/19 11:59 AM
119,TEDDY,93,27,435,278,545,998,09/02/19 11:59 AM
120,BO,40,98,225,499,819,854,10/02/19 11:59 AM
121,BUDDY,87,100,470,239,926,901,11/02/19 11:59 AM
122,MAX,7,22,462,125,719,665,12/02/19 11:59 AM
123,SADIE,56,40,320,241,865,954,13/02/19 11:59 AM
124,LUCY,16,31,371,178,779,782,03/02/19 11:59 AM
125,BAILEY,87,53,428,215,889,574,04/02/19 11:59 AM
126,DAISY,46,76,141,155,625,710,05/02/19 11:59 AM
127,LUNA,97,89,258,483,660,874,06/02/19 11:59 AM
128,CHARLIE,66,96,281,309,765,860,07/02/19 11:59 AM
129,MAGGIE,5,35,396,282,713,859,08/02/19 11:59 AM
130,MOLLY,74,33,152,443,837,687,09/02/19 11:59 AM
131,COOPER,85,76,431,349,842,694,10/02/19 11:59 AM
132,GINGER,8,1,419,409,573,878,11/02/19 11:59 AM
133,JACK,64,72,201,199,812,840,12/02/19 11:59 AM
134,WILLOW,45,65,424,480,669,955,13/02/19 11:59 AM
135,ABBY,13,31,252,301,825,598,14/02/19 11:59 AM
136,BEAR,73,77,265,471,891,852,03/02/19 11:59 AM
137,LILY,92,34,405,167,612,664,04/02/19 11:59 AM
138,DUKE,17,17,141,496,808,647,05/02/19 11:59 AM
139,KODA,30,95,262,355,860,868,06/02/19 11:59 AM
140,ROCKY,26,92,170,179,846,812,07/02/19 11:59 AM
141,CHLOE,12,3,288,390,888,641,08/02/19 11:59 AM
142,KENAI,66,86,322,428,532,946,09/02/19 11:59 AM
143,HARLEY,42,45,342,233,858,530,10/02/19 11:59 AM
144,DENALI,81,51,212,476,821,926,11/02/19 11:59 AM
145,TOBY,60,57,257,501,690,656,12/02/19 11:59 AM
146,JAKE,55,22,212,270,569,671,13/02/19 11:59 AM
147,LOKI,56,2,304,340,518,545,14/02/19 11:59 AM
148,RUBY,37,85,464,174,666,719,04/02/19 11:59 AM
149,ROXY,95,43,360,142,967,626,05/02/19 11:59 AM
150,LUCKY,86,81,448,387,772,979,06/02/19 11:59 AM
151,PENNY,18,34,153,159,819,599,07/02/19 11:59 AM
152,RILEY,98,11,164,296,864,947,08/02/19 11:59 AM
153,SHADOW,84,66,428,197,563,735,09/02/19 11:59 AM
154,SOPHIE,77,46,413,432,606,542,10/02/19 11:59 AM
155,LOLA,29,48,355,139,918,820,11/02/19 11:59 AM
156,ROSIE,43,31,493,326,766,950,12/02/19 11:59 AM
157,PEPPER,87,95,208,359,843,605,13/02/19 11:59 AM
158,COCO,65,92,384,452,656,925,14/02/19 11:59 AM
159,GUS,12,54,439,168,706,654,15/02/19 11:59 AM
160,LADY,18,44,140,227,682,544,04/02/19 11:59 AM
161,BANDIT,25,61,484,359,927,840,05/02/19 11:59 AM
