id,name,tail_high,tail_low,ear_high,ear_low,nose_high,nose_low,time_stamp,latitude,longitude,only_in_version_2
1,slim,86,23,900,433,13,2,01/02/18 11:59 AM,85.152476,73.6716951,a
2,spike,74,87,245,601,345,651,02/02/18 11:59 AM,31.8906103,51.6464213,a
3,mamacat,43,97,39,506,763,535,06/02/18 11:59 AM,7.4936601,74.2611061,a
4,babycat,30,90,151,267,646,979,04/02/18 11:59 AM,53.9343442,41.1357878,a
5,miko,12,6,702,282,136,15,05/02/18 11:59 AM,85.5071365,82.5695528,a
6,WINSTON,30,33,187,605,906,652,06/02/18 11:59 AM,61.0382289,58.6792005,a
7,ZOE,83,50,354,965,931,236,07/02/18 11:59 AM,48.7169596,54.6991338,a
8,ANGEL,41,19,418,538,950,579,05/02/18 11:59 AM,51.1413447,96.8786322,a
9,BAXTER,94,8,683,349,696,45,09/02/18 11:59 AM,95.063154,56.9714682,a
10,EMMA,26,24,539,295,484,321,10/02/18 11:59 AM,9.22597,89.6349149,a
11,GIZMO,1,38,45,289,599,814,10/02/18 11:59 AM,17.5745175,32.9080137,a
12,HAZEL,76,58,509,588,555,73,12/02/18 11:59 AM,61.9219626,10.9756751,a
13,CHANCE,58,58,190,741,686,855,01/02/18 11:59 AM,64.1311029,22.6066372,a
14,CHEWY,45,81,337,914,85,492,02/02/18 11:59 AM,30.8985522,66.5252818,a
15,HUNTER,100,15,886,483,720,871,03/02/18 11:59 AM,16.7764669,63.652404,a
16,JACKSON,97,94,294,146,43,745,04/02/18 11:59 AM,11.7324565,35.9934498,a
17,MADDIE,12,41,32,300,314,799,05/02/18 11:59 AM,18.2908539,57.4419703,a
18,OTIS,76,6,841,495,290,153,06/02/18 11:59 AM,26.6311913,21.5193414,a
19,RAVEN,25,71,393,678,565,194,07/02/18 11:59 AM,16.965499,69.8815343,a
20,TEDDY,1,14,297,761,160,825,08/02/18 11:59 AM,33.4093273,25.9677317,a
21,BO,10,94,815,499,112,49,09/02/18 11:59 AM,17.4808491,45.7197129,a
22,BUDDY,19,25,920,904,214,139,10/02/18 11:59 AM,57.1906962,72.0466315,a
23,MAX,69,100,291,499,809,724,11/02/18 11:59 AM,97.2861228,90.8585181,a
24,SADIE,62,65,189,714,707,774,12/02/18 11:59 AM,6.4001847,90.7399829,a
25,LUCY,93,70,727,403,1,310,01/02/18 11:59 AM,17.6104817,50.8033586,a
26,BAILEY,38,72,391,708,533,558,02/02/18 11:59 AM,77.8465855,10.6653361,a
27,DAISY,14,23,243,513,271,370,06/02/18 11:59 AM,26.9248907,63.4980365,a
28,LUNA,60,96,29,249,454,300,04/02/18 11:59 AM,32.5145655,68.6994837,a
29,CHARLIE,100,64,309,885,553,885,05/02/18 11:59 AM,93.4477639,23.6193349,a
30,MAGGIE,78,14,907,869,785,380,06/02/18 11:59 AM,36.8683008,95.4588182,a
31,MOLLY,7,22,179,34,315,334,07/02/18 11:59 AM,56.884549,80.1807133,a
32,COOPER,57,60,115,954,334,612,05/02/18 11:59 AM,20.7212546,87.3281169,a
33,GINGER,54,68,602,702,690,619,09/02/18 11:59 AM,9.0250649,6.1727738,a
34,JACK,31,16,942,669,107,308,10/02/18 11:59 AM,22.344859,4.1569874,a
35,WILLOW,16,9,327,804,761,484,10/02/18 11:59 AM,15.0867467,92.9082638,a
36,ABBY,51,94,971,455,980,283,12/02/18 11:59 AM,89.129289,72.7535278,a
37,BEAR,97,82,113,792,759,611,01/02/18 11:59 AM,74.5334577,76.8965279,a
38,LILY,93,53,816,547,303,18,02/02/18 11:59 AM,49.0335162,43.3539016,a
39,DUKE,52,87,864,821,635,257,03/02/18 11:59 AM,37.4114311,52.5594521,a
40,KODA,86,5,703,516,647,840,04/02/18 11:59 AM,70.1884737,90.1841774,a
41,ROCKY,80,16,283,411,347,559,05/02/18 11:59 AM,1.7065255,43.8307784,a
42,CHLOE,11,17,380,430,213,246,06/02/18 11:59 AM,46.4063078,79.3935476,a
43,KENAI,54,80,801,488,868,192,07/02/18 11:59 AM,72.6067667,27.5779631,a
44,HARLEY,32,15,510,180,283,505,08/02/18 11:59 AM,60.498527,2.995709,a
45,DENALI,17,34,129,290,320,617,09/02/18 11:59 AM,63.862902,41.3533544,a
46,TOBY,36,74,797,173,46,761,10/02/18 11:59 AM,58.0032107,26.6041268,a
47,JAKE,25,87,597,423,254,982,11/02/18 11:59 AM,83.9251446,11.3736706,a
48,LOKI,19,37,166,0,285,427,12/02/18 11:59 AM,79.1733088,25.0192589,a
49,RUBY,94,35,414,897,297,642,01/02/18 11:59 AM,42.8466923,68.2375952,a
50,ROXY,30,97,42,172,255,222,02/02/18 11:59 AM,98.00352,18.3840807,a
51,LUCKY,73,93,873,550,266,586,06/02/18 11:59 AM,38.7062362,72.3995403,a
52,PENNY,64,10,947,247,966,370,04/02/18 11:59 AM,97.5490757,72.4089418,a
53,RILEY,48,42,648,496,470,514,05/02/18 11:59 AM,50.5919303,2.9654895,a
54,SHADOW,14,10,390,745,550,94,06/02/18 11:59 AM,87.6846607,63.4469904,a
55,SOPHIE,82,98,286,410,36,854,07/02/18 11:59 AM,6.0945069,76.8281666,a
56,LOLA,10,55,558,39,626,962,05/02/18 11:59 AM,67.8163503,23.7015119,a
57,ROSIE,72,41,84,513,54,181,09/02/18 11:59 AM,69.2850481,26.8176787,a
58,PEPPER,18,1,339,990,250,974,10/02/18 11:59 AM,47.2436006,97.1235638,a
59,COCO,18,17,35,391,659,557,10/02/18 11:59 AM,78.4915867,74.1466105,a
60,GUS,9,64,840,304,885,114,12/02/18 11:59 AM,95.5315095,76.2535773,a
61,LADY,61,97,7,0,985,658,01/02/18 11:59 AM,27.7234541,20.5079496,a
